"league","id","minute","result","X","Y","xG","player","h_a","player_id","situation","season","shotType","match_id","home_team","away_team","home_goals","away_goals","date","player_assisted","lastAction"
"EPL","531932","14","MissedShots",0.86,0.635,0.0580548197031021,"Luca Koleosho","h","10620","OpenPlay","2023","RightFoot","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00","Vitinho","Pass"
"EPL","531933","17","SavedShot",0.885999984741211,0.671999969482422,0.0612575747072697,"Zeki Amdouni","h","11701","OpenPlay","2023","LeftFoot","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00","Luca Koleosho","Pass"
"EPL","531934","28","MissedShots",0.87,0.750999984741211,0.0171117633581161,"Lyle Foster","h","7498","OpenPlay","2023","LeftFoot","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00",NA,"TakeOn"
"EPL","531936","36","BlockedShot",0.86,0.455,0.0976164042949677,"Lyle Foster","h","7498","OpenPlay","2023","RightFoot","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00","Luca Koleosho","Pass"
"EPL","531947","79","BlockedShot",0.816999969482422,0.535999984741211,0.0639837458729744,"Anass Zaroury","h","11703","OpenPlay","2023","LeftFoot","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00","Lyle Foster","Pass"
"EPL","531948","81","MissedShots",0.958000030517578,0.375999984741211,0.0130081614479423,"Jacob Bruun Larsen","h","5355","FromCorner","2023","Head","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00","Anass Zaroury","Aerial"
"EPL","531929","3","Goal",0.936999969482422,0.505999984741211,0.505845665931702,"Erling Haaland","a","8260","FromCorner","2023","LeftFoot","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00","Rodri","HeadPass"
"EPL","531930","5","MissedShots",0.719000015258789,0.389000015258789,0.0188944488763809,"Kevin De Bruyne","a","447","OpenPlay","2023","RightFoot","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00","Phil Foden","Pass"
"EPL","531931","10","MissedShots",0.951999969482422,0.420999984741211,0.130246803164482,"Erling Haaland","a","8260","OpenPlay","2023","RightFoot","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00","Kevin De Bruyne","Cross"
"EPL","531935","35","Goal",0.890999984741211,0.385,0.113213658332825,"Erling Haaland","a","8260","OpenPlay","2023","LeftFoot","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00","Julián Álvarez","Pass"
"EPL","531937","45","SavedShot",0.898000030517578,0.482000007629395,0.168699607253075,"Phil Foden","a","6055","OpenPlay","2023","LeftFoot","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00","Mateo Kovacic","TakeOn"
"EPL","531938","51","BlockedShot",0.944000015258789,0.681999969482422,0.132756263017654,"Erling Haaland","a","8260","OpenPlay","2023","LeftFoot","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00","Julián Álvarez","Throughball"
"EPL","531939","52","BlockedShot",0.950999984741211,0.625999984741211,0.0731672719120979,"Phil Foden","a","6055","FromCorner","2023","LeftFoot","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00",NA,"None"
"EPL","531940","54","SavedShot",0.705999984741211,0.439000015258789,0.0143527025356889,"Rodri","a","2496","OpenPlay","2023","RightFoot","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00","Kyle Walker","BallRecovery"
"EPL","531941","54","SavedShot",0.865999984741211,0.485,0.0204319432377815,"Rodri","a","2496","FromCorner","2023","Head","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00","Julián Álvarez","Cross"
"EPL","531942","59","MissedShots",0.881999969482422,0.335999984741211,0.0865577608346939,"Julián Álvarez","a","10846","OpenPlay","2023","RightFoot","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00","Erling Haaland","Pass"
"EPL","531943","66","BlockedShot",0.859000015258789,0.392000007629395,0.100109070539474,"Rodri","a","2496","OpenPlay","2023","RightFoot","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00","Julián Álvarez","LayOff"
"EPL","531944","74","BlockedShot",0.958000030517578,0.495999984741211,0.109350025653839,"Nathan Aké","a","579","SetPiece","2023","LeftFoot","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00",NA,"None"
"EPL","531945","74","Goal",0.951999969482422,0.494000015258789,0.659317314624786,"Rodri","a","2496","SetPiece","2023","RightFoot","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00",NA,"Rebound"
"EPL","531946","78","BlockedShot",0.888000030517578,0.602999992370605,0.13168953359127,"Julián Álvarez","a","10846","OpenPlay","2023","RightFoot","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00","Erling Haaland","Pass"
"EPL","531949","85","SavedShot",0.869000015258789,0.317999992370605,0.0717794224619865,"Julián Álvarez","a","10846","OpenPlay","2023","RightFoot","22275","Burnley","Manchester City",0,3,"2023-08-11 19:00:00","Phil Foden","Pass"
