"league","id","minute","result","X","Y","xG","player","h_a","player_id","situation","season","shotType","match_id","home_team","away_team","home_goals","away_goals","date","player_assisted","lastAction"
"Bundesliga","532854","22","SavedShot",0.740999984741211,0.569000015258789,0.0594240166246891,"Marvin Ducksch","h","4329","DirectFreekick","2023","RightFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00",NA,"Standard"
"Bundesliga","532862","45","MissedShots",0.84,0.48,0.0254809204488993,"Mitchell Weiser","h","28","OpenPlay","2023","LeftFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00",NA,"Aerial"
"Bundesliga","532864","46","MissedShots",0.92,0.45,0.421690672636032,"Leonardo Bittencourt","h","262","OpenPlay","2023","RightFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Niclas Füllkrug","Pass"
"Bundesliga","532865","48","MissedShots",0.893000030517578,0.557000007629395,0.0880057886242867,"Niclas Füllkrug","h","6098","OpenPlay","2023","LeftFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Marvin Ducksch","Pass"
"Bundesliga","532870","62","MissedShots",0.780999984741211,0.502999992370605,0.0321686156094074,"Jens Stage","h","10734","OpenPlay","2023","LeftFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00",NA,"None"
"Bundesliga","532879","91","MissedShots",0.759000015258789,0.567000007629395,0.0129699455574155,"Romano Schmid","h","9069","OpenPlay","2023","LeftFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Dawid Kownacki","Chipped"
"Bundesliga","532850","3","Goal",0.879000015258789,0.432999992370605,0.561504244804382,"Leroy Sané","a","337","OpenPlay","2023","RightFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Harry Kane","Throughball"
"Bundesliga","532851","10","BlockedShot",0.705,0.525999984741211,0.0165833421051502,"Harry Kane","a","647","SetPiece","2023","RightFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Joshua Kimmich","Pass"
"Bundesliga","532852","18","MissedShots",0.749000015258789,0.545999984741211,0.0354021675884724,"Jamal Musiala","a","8418","OpenPlay","2023","RightFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Kim Min-Jae","TakeOn"
"Bundesliga","532853","20","MissedShots",0.790999984741211,0.350999984741211,0.0364858023822308,"Noussair Mazraoui","a","10696","OpenPlay","2023","RightFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Alphonso Davies","Pass"
"Bundesliga","532855","24","SavedShot",0.915,0.534000015258789,0.0856148898601532,"Harry Kane","a","647","FromCorner","2023","RightFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Leroy Sané","Cross"
"Bundesliga","532856","33","SavedShot",0.715,0.515,0.020263783633709,"Leon Goretzka","a","335","OpenPlay","2023","RightFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Alphonso Davies","Pass"
"Bundesliga","532857","38","BlockedShot",0.866999969482422,0.330999984741211,0.0714619904756546,"Harry Kane","a","647","OpenPlay","2023","LeftFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Jamal Musiala","Pass"
"Bundesliga","532858","39","BlockedShot",0.759000015258789,0.527999992370605,0.0324237868189812,"Jamal Musiala","a","8418","OpenPlay","2023","RightFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Kim Min-Jae","Pass"
"Bundesliga","532859","41","MissedShots",0.68,0.53,0.0336606614291668,"Joshua Kimmich","a","223","DirectFreekick","2023","RightFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00",NA,"Standard"
"Bundesliga","532860","43","BlockedShot",0.846999969482422,0.620999984741211,0.0829124450683594,"Jamal Musiala","a","8418","OpenPlay","2023","RightFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Alphonso Davies","Pass"
"Bundesliga","532861","44","SavedShot",0.918000030517578,0.542999992370605,0.0893930867314339,"Kim Min-Jae","a","10986","FromCorner","2023","Head","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Joshua Kimmich","Cross"
"Bundesliga","532863","46","SavedShot",0.795,0.282999992370605,0.0273664221167564,"Leroy Sané","a","337","OpenPlay","2023","LeftFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Alphonso Davies","Pass"
"Bundesliga","532866","57","BlockedShot",0.853000030517578,0.522000007629395,0.11292327940464,"Kingsley Coman","a","226","OpenPlay","2023","RightFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Alphonso Davies","Pass"
"Bundesliga","532867","58","MissedShots",0.786999969482422,0.545,0.0181930251419544,"Leon Goretzka","a","335","OpenPlay","2023","RightFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Kingsley Coman","Aerial"
"Bundesliga","532868","59","BlockedShot",0.815999984741211,0.510999984741211,0.0685181319713593,"Leon Goretzka","a","335","OpenPlay","2023","RightFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Alphonso Davies","Pass"
"Bundesliga","532869","60","SavedShot",0.799000015258789,0.347000007629395,0.0354317203164101,"Harry Kane","a","647","OpenPlay","2023","RightFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Joshua Kimmich","Pass"
"Bundesliga","532871","66","MissedShots",0.815999984741211,0.617000007629395,0.0487454645335674,"Joshua Kimmich","a","223","OpenPlay","2023","LeftFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Kingsley Coman","Pass"
"Bundesliga","532872","69","MissedShots",0.869000015258789,0.632000007629395,0.0924293622374535,"Kingsley Coman","a","226","OpenPlay","2023","RightFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Jamal Musiala","Pass"
"Bundesliga","532873","70","MissedShots",0.905999984741211,0.527000007629395,0.139652580022812,"Harry Kane","a","647","OpenPlay","2023","LeftFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Kingsley Coman","Pass"
"Bundesliga","532874","73","Goal",0.840999984741211,0.532000007629394,0.0970911607146263,"Harry Kane","a","647","OpenPlay","2023","RightFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Alphonso Davies","Pass"
"Bundesliga","532875","84","SavedShot",0.898000030517578,0.409000015258789,0.397328704595566,"Noussair Mazraoui","a","10696","OpenPlay","2023","LeftFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Thomas Müller","TakeOn"
"Bundesliga","532876","85","BlockedShot",0.854000015258789,0.575999984741211,0.0819076299667358,"Mathys Tel","a","9780","OpenPlay","2023","RightFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00",NA,"None"
"Bundesliga","532877","86","BlockedShot",0.856999969482422,0.6,0.0118926195427775,"Matthijs de Ligt","a","7902","FromCorner","2023","Head","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Joshua Kimmich","Aerial"
"Bundesliga","532878","89","Goal",0.945,0.48,0.632439970970154,"Leroy Sané","a","337","OpenPlay","2023","LeftFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Thomas Müller","Pass"
"Bundesliga","532880","93","Goal",0.866999969482422,0.675999984741211,0.0674161836504936,"Mathys Tel","a","9780","OpenPlay","2023","RightFoot","23065","Werder Bremen","Bayern Munich",0,4,"2023-08-18 18:30:00","Alphonso Davies","Pass"
"Bundesliga","533113","1","SavedShot",0.723000030517578,0.57,0.0157551448792219,"Granit Xhaka","h","204","OpenPlay","2023","LeftFoot","23066","Bayer Leverkusen","RasenBallsport Leipzig",3,2,"2023-08-19 13:30:00",NA,"BallRecovery"
"Bundesliga","533115","7","MissedShots",0.761999969482422,0.445,0.0224657133221626,"Jonas Hofmann","h","320","OpenPlay","2023","LeftFoot","23066","Bayer Leverkusen","RasenBallsport Leipzig",3,2,"2023-08-19 13:30:00",NA,"None"
